Date,Site,Flight origin,Destination,Fatalities,Injuries,Survivors
25-Feb-64,30.47889; -90.10417,,,58,0,0
29-Feb-64,47.267; 11.383,51.47750; -0.46139,47.26028; 11.34389,83,0,0
7-May-64,37.75919; -121.87364,39.49917; -119.76806,37.61889; -122.37500,44,,0
20June1964(1964-06-20),"Shenkang, Taiwan",Taichung Airport (TXG/RCLG),25.06944; 121.55167,57,,0
"July9,1964(1964-07-09)",36.0268083; -83.0614417,39.87194; -75.24111,34.63722; -86.77500,39,0,0
2-Sep-64,50.550; 142.600,55.97278; 37.41472,46.967; 142.733,87,,6
15-Nov-64,35.9405; -115.2647,33.43417; -112.01167,36.08000; -115.15222,29,0,0
20-Nov-64,56.250; 12.850,59.35444; 17.93972,56.29611; 12.84722,31,9,12
23-Nov-64,41.80278; 12.23750,41.80028; 12.23889,37.89833; 23.72944,50,23,23
24-Dec-64,37.62389; -122.46472,37.61889; -122.37500,40.63972; -73.77889,3,0,0
4 January 1965 (local time)  3 January 1965 (Moscow time),43.3666250; 77.0550528,55.49750; 37.66389,43.27750; 76.89583,64,17,39
6-Feb-65,-35.6533; -70.76083,"Los Cerrillos Airport, Santiago, Chile",-34.82222; -58.53583,87,,0
"February8,1965(1965-02-08)",40.43611; -73.56250,42.36306; -71.00639,33.63667; -84.42806,84,,0
8March1965(1965-03-08),"near Kuybyshev Airport, Soviet Union",Kuybyshev Airport,43.45000; 39.95667,30,,9
14-Apr-65,49.20583; -2.21833,,,26,,1
5-May-65,28.26861; -16.60556,40.383; -3.717,28.26861; -16.60556,30,,19
20-May-65,30.12194; 31.40556,24.90667; 67.16083,51.47750; -0.46139,121,6,6
1-Jul-65,39.11418; -94.59553,33.94250; -118.40806,41.97861; -87.90472,0,,66
8-Jul-65,51.64194; -121.29722,49.19472; -123.18389,60.70944; -135.06722,52,,0
10-Jul-65,51.083; 1.017,49.4303; 02.09520,51.0767; 1.0289,0,3+,52
20-Jul-65,53.400; -2.983,,,4 (2 on ground),0,0
16-Aug-65,42.25056; -87.46556,40.777250; -73.872611,41.97861; -87.90472,30,0,0
17-Sep-65,16.71111; -62.17722,14.59222; -60.99639,40.7127; -74.0059,30,,0
8-Nov-65,39.08639; -84.66194,40.777250; -73.872611,39.04889; -84.66778,58,4,4 (3 passengers and 1 crew member)
11-Nov-65,40.77250; -111.99528,40.777250; -73.872611,37.61889; -122.37500,43,,48
11 November 1965(1965-11-11),"1.5km from Murmansk Airport, RSFSR, Soviet Union",59.80028; 30.26250,68.7838000; 32.7559472,32,,32
4-Dec-65,"Carmel, New York, United States",37.61889; -122.37500,40.63972; -73.77889,0,,58 (all)
14-Jan-66,-33.54250; -71.59583,10.400; -75.500,4.70139; -74.14694,56,,8
24-Jan-66,45.83361; 6.86500,"Sahar International Airport, Bombay, India",51.47750; -0.46139,117,,0
3-Nov-50,45.83278; 6.86500,18.97500; 72.82583,51.50722; -0.12750,48,,0
28-Jan-66,53.04750; 8.78667,,,46,,0
2-Feb-66,"Near Faridpur, East Pakistan","Dacca, East Pakistan","Faridpur Heliport, Faridpur, East Pakistan",23,1,1
"February4,1966(1966-02-04)",35.522577; 139.909570,42.77528; 141.69250,35.55333; 139.78111,133,,0
17February1966(1966-02-17),55.97278; 37.41472,55.97278; 37.41472,-4.25167; 15.25306,21,,45
4-Mar-66,35.5377; 139.8065,22.32861; 114.19417,49.250; -123.100,64,,8
5-Mar-66,35.35806; 138.73111,51.47750; -0.46139,"Kai Tak Int'l Airport, Hong Kong",124,,0
18-Mar-66,30.033; 31.233,35.167; 33.367,30.12194; 31.40556,30,0,0
April 22 1966,"2.4 km northeast of Ardmore Municipal Airport, United States",36.58694; -121.84306,-37.02972; 174.97333,83,,15
27-Apr-66,"Mount Talaula, Tomas District, Peru",-12.02194; -77.11444,-13.53556; -71.94361,49,,
6-Aug-66,40.1749444; -95.5389722,29.99333; -90.25806,44.88194; -93.22167,42,,0
1-Sep-66,46.2080; 14.5028,51.87472; -0.36833,46.22444; 14.45611,98,,19
22-Sep-66,-22.3917; 142.8531,-20.73333; 139.50000,-23.4422; 144.2491,24,,0
1-Oct-66,45.259617; -121.995233,44.05194; -123.08667,45.58861; -122.59750,18,,0
13-Nov-66,34.167; 133.333,34.78444; 135.43917,33.82722; 132.69972,50,0,0
15-Nov-66,52.51667; 13.38889,,,3,,0
24-Nov-66,48.14389; 17.10972,,,82,,0
16 February 1967(1967-02-16),1.54917; 124.92639,-6.14722; 106.85000,1.49306; 124.84139,22,,70
5March1967(1967-03-05),40.69361; -83.43083,41.97861; -87.90472,42.21250; -83.35333,38,,0
5 March 1967(1967-03-05),6.207; -10.37897,"Fiumicino – Leonardo da Vinci International Airport (IATA code: FCO, ICAO code: LIRF), Rome, Italy","Galeão International Airport (IATA code: GIG, ICAO code: SBGL), Rio de Janeiro, Brazil",56 (5 ground fatalities),,39
9-Mar-67,40.19694; -83.81278,,,,,0
10-Mar-67,42.12083; -121.65389,42.22500; -121.78167,47.44889; -122.30944,4,0,0
13March1967(1967-03-13),-33.22417; 27.6383,-33.98472; 25.61028,-26.13333; 28.25000,25,,0
20-Apr-67,35.10833; 33.28722,13.91250; 100.60667,47.59000; 7.52917,126,,4
3-Jun-67,42.51889; 2.45667,51.34222; 1.34611,42.6986; 2.8956,88,,
4-Jun-67,53.407563; -2.153138,"Palma Airport, Majorca, Spain",53.357; -2.272,72,12,12
23-Jun-67,41.68250; -77.05139,42.16000; -76.89167,38.90472; -77.01639,34,,0
30June1967(1967-06-30),22.3020; 114.2173,25.06944; 121.55167,22.32861; 114.19417,24,56,56
"July19,1967(1967-07-19)",35.32056; -82.46167,35.43611; -82.54167,37.27083; -79.94167,3 (all),,0
5September1965(1965-09-05),48.9423472; -54.5338972,50.10083; 14.26000,22.98917; -82.40917,37,,32
12-Oct-67,35; 18,37.89833; 23.72944,35.15000; 33.27722,66,,0
4-Nov-67,51.05167; -0.69056,36.67500; -4.49917,51.47750; -0.46139,37,0,
6-Nov-67,39.050; -84.667,,34.08333; -118.44778,1 (passenger),10,35
16-Nov-67,2.9km (1.8 mi) east of Koltsovo Airport,56.74139; 60.80361,41.257861; 69.2811861,107,,0
20-Nov-67,39.0843694; -84.6699972,,,70,,12 (10 passengers and 2 crew members)
29-Feb-68,"Parchum, Chunsky District, Irkutsk Oblast",55.40861; 37.90611,53.1677000; 158.4536000,83,,1
5-Mar-68,16.0; -61.7,-33.450; -70.667,48.8567; 2.3508,63,,0
24-Mar-68,"St George's Channelnear Wexford, Ireland",,,61,,0
8-Apr-68,51.46750; -0.36167,51.47750; -0.46139,-33.94611; 151.17722,5,38,122
20-Apr-68,-22.433; 17.567,-22.433; 17.567,51.47750; -0.46139,123,,5
3-May-68,32.05; -96.47,29.64556; -95.27889,32.84722; -96.85167,85,0,0
29-Sep-59,"Leon County, near Buffalo, Texas",29.76278; -95.38306,40.777250; -73.872611,34,0,0
22-May-68,33.90000; -118.16667,,,23,,0
1-Jul-68,"Kuril Islands, Soviet Union",47.60972; -122.33306,35.74861; 139.34861,0,0,238
3-Jul-68,51.4734; -0.4501,,,6,,2
23-Jul-68,,51.47750; -0.46139,32.00944; 34.88278,0,,61 (Including 3 hijackers)
14-Aug-68,33.900; -118.200,33.94250; -118.40806,33.81; -117.92,21,0,0
11-Sep-68,43.28528; 7.22361,41.92389; 8.80250,43.66528; 7.21500,95,,0
25-Oct-68,"Etna, Town of Hanover, Grafton County, New Hampshire",,,32,10,10
"November22,1968(1968-11-22)",37.59; -122.31,35.55333; 139.78111,37.61889; -122.37500,0,0,107
2 December 19689:36 am AKST,59.771; -154.141,61.217; -149.900,59.04667; -158.50861,39,0,0
12-Dec-68,10.48056; -66.90361,"New York John F. Kennedy Airport, United States",10.60306; -66.99056,51,,0
24-Dec-68,41.76778; -78.60167,42.33139; -83.04583,41.80306; -78.64000,20,,27
27-Dec-68,41.97861; -87.90472,44.983; -93.267,41.97861; -87.90472,"28 (24 passengers, 3 crew, and 1 on ground)","24 (17 passengers, 1 crew, and 6 on ground)","18 (17 passengers, 1 crew)"
31-Dec-68,-20.8457; 118.5848,-31.95222; 115.85889,-20.31000; 118.60111,26,,0
5-Jan-69,51.1548; -0.1422,34.56583; 69.21306,51.14806; -0.19028,50 (2 on ground),15 (1 on ground),14
6-Jan-69,41.86000; -78.72861,38.90472; -77.01639,41.80306; -78.64000,11,,17
"January13,1969(1969-01-13)",33.92056; -118.53278,55.61806; 12.65611,33.94250; -118.40806,15,17,30
18-Jan-69,"Santa Monica Bay, California, United States",,,38,,0
18-Feb-69,36.578580925; -118.29199495,38.52528; -118.62306,34.18028; -118.32833,35,,0
24-Feb-69,22.983; 120.183,22.57694; 120.35000,25.06944; 121.55167,36,,0
5March1969(1969-03-05),18.17139; -66.14194,Saint Thomas Airport (STT/TIST),18.43917; -66.00194,19,,0
"March16,1969(1969-03-16)",10.633; -71.633,10.60306; -66.99056,25.79333; -80.29056,84,,0
20-Mar-69,23.958; 32.820,21.67944; 39.15667,23.96417; 32.81972,100,5,5
2-Apr-69,49.63333; 19.63333,52.233; 21.017,50.07778; 19.78472,53,0,0
28-Apr-69,"Near Colina, Chile",-34.82222; -58.53583,-33.39278; -70.78556,0,0,60
"June4,1969(1969-06-04)",25.783; -100.183,19.43611; -99.07194,25.86556; -100.23806,79,0,0
23-Jun-69,54.5981972; 35.6077389,55.31167; 23.95333,54.64167; 39.57167,96,,0
29-Aug-69,Greek airspace,41.80028; 12.23889,32.00944; 34.88278,0,,127 (all)
9-Sep-69,39.61722; -85.92056,42.36306; -71.00639,38.74722; -90.36139,1 (all),,0
12-Sep-69,"Kula-ike, Antipolo City, on approach to runway 24 at Manila International Airport",10.30722; 123.97889,14.50833; 121.01972,45,2,2
19-Nov-69,43.4927556; -73.6114778,,,14,0,0
20-Nov-69,13 km (8.1 mls) N of Lagos/Ikeja International Airport (LOS),51.47750; -0.46139,6.57722; 3.32111,87,,0
3-Dec-69,10.48056; -66.90361,Caracas International Airport,16.26417; -61.52583,62,0,0
8-Dec-69,37.800; 23.967,35.53167; 24.14972,37.89833; 23.72944,90,,0
5January1970(1970-01-05),59.6280028; 17.8975972,59.65194; 17.91861,47.46472; 8.54917,5[1],,5[1]
4-Feb-70,-26.765; -58.800,-25.23972; -57.51917,-34.82222; -58.53583,37,,0
"February15,1970(1970-02-15)","Caribbean Sea near Las Américas Int'l AirportSanto Domingo, Dominican Republic",18.42944; -69.66889,18.43917; -66.00194,102,,0
21February1970(1970-02-21),47.533; 8.267,47.46472; 8.54917,22.32861; 114.19417,47,,0
17-Mar-70,42.349278; -71.074778,40.69250; -74.16861,42.36306; -71.00639,1,2,72
31-Mar-70,35.683; 139.767,35.55333; 139.78111,33.58444; 130.45167,0,,129 (excluding the hijackers)
21-Apr-70,13; 122,16.77; 121.78,14.7469611; 120.888778,36,,0
2-May-70,15; -75,40.63972; -73.77889,18.04083; -63.10944,23,37,40
3-Jul-70,41.79583; 2.45944,,,112,,0
5-Jul-70,43.683; -79.767,45.47056; -73.74083,33.94250; -118.40806,109[1],,0
"August9,1970(1970-08-09)",-13.5378778; -71.9660361,-12.02194; -77.11444,-13.53556; -71.94361,99,1,1 (Juan Loo [1])
12-Aug-70,25.06944; 121.55167,,,14,,17
9-Sep-70,26; 52,Sahar International Airport,51.47750; -0.46139,1 (hijacker),none,114 (all)
2-Oct-70,39.69333; -105.88250,37.65000; -97.43306,41.791222; -111.851583,31,,9
"November14,1970(1970-11-14)",38.37417; -82.57833,35.33139; -77.60889,38.36694; -82.55861,75,,0
22-Jan-71,"Surgut, RSFSR, Soviet Union",54.96667; 73.30833,61.34333; 73.40333,14,,0
31-Jan-71,"Surgut, RSFSR, Soviet Union",57.16833; 65.31667,61.34333; 73.40333,7,,0
23May1971(1971-05-23),,51.14806; -0.19028,45.32706500; 14.44217611,78,5,5
"June6,1971(1971-06-06)18:11 PDT",34.28889; -117.64672,33.94250; -118.40806,47.44889; -122.30944,1,,1
"June 7, 1971[1]",41.35; -72.90,38.90472; -77.01639,37.07083; -76.48444,28,,3
3-Jul-71,41.93333; 140.7833,42.77528; 141.69250,41.77000; 140.82194,68,,0
25-Jul-71,52.26944; 104.38194,46.42694; 30.67806,43.39917; 132.15139,97,,29
30-Jul-71,39.683; 140.983,42.77528; 141.69250,35.55333; 139.78111,0,1,1
30-Jul-71,"San Francisco Int'l AirportSan Mateo County, CaliforniaUnited States",34.050; -118.250,35.55333; 139.78111,0,29 (10 serious),218
"September 4, 1971(1971-09-04)",58.361666; -135.170000,61.17417; -149.99833,47.44889; -122.30944,111,,0
6-Sep-71,Bundesautobahn 7,53.63028; 9.99111,36.67500; -4.49917,22,99,99
2 October 1971(1971-10-02),"Aarsele, Belgium",51.47750; -0.46139,47.80000; 13.03333,63,"1 (minor, ground)",0
10November1971(1971-11-10),-0.95000; 100.35306,-6.14722; 106.85000,"Tabing Airport, Padang, Indonesia",69,,0
24-Nov-71,"Between Portland, Oregon and Seattle, Washington, US",45.58861; -122.59750,47.44889; -122.30944,None (hijacker's fate unknown),None known,All 42 passengers and crew
"December24,1971(1971-12-24)","Puerto Inca, Peru",-12.02194; -77.11444,-3.78472; -73.30833,91,1,1 (Juliane Koepcke)
7-Jan-72,"Sierra de Atalayasa, Spain",39.48944; -0.48167,38.87278; 1.37583,104,,0
26-Jan-72,"Srbská Kamenice, Czechoslovakia",59.65194; 17.91861,44.817; 20.467,27,1 (Vesna Vulović),1 flight attendant  (Vesna Vulović)
22–23 February 1972,12.82944; 45.02889,35.55333; 139.78111,50.03333; 8.57056,0,0,192
3-Mar-72,42.67444; -73.80028,,,17 (1 on ground),35 (4 on ground),32
14-Mar-72,25.07417; 56.35528,6.93444; 79.84278,55.61806; 12.65611,112,,0
19-Mar-72,12.7656; 45.0169,30.12194; 31.40556,12.800; 45.033,30,0,0
5-May-72,38.12306; 13.14806,41.80028; 12.23889,38.18194; 13.09944,115,,0
18May1972(1972-05-18),49.91556; 36.65056,55.59611; 37.26750,49.92472; 36.29000,122,,0
12-Jun-72,42.27611; -82.95528,"Los Angeles International AirportLos Angeles, California",40.777250; -73.872611,0,"11 (2 crew, 9 passengers)[1]",67 (All)
14-Jun-72,"near Palam International Airport, New Delhi","Tokyo International Airport (TYO/RJTT), Tokyo, Japan",51.47750; -0.46139,86 (including 4 on the ground),,5
15-Jun-72,13.983; 108.000,1.35917; 103.98944,22.32861; 114.19417,81,,0
18-Jun-72,51.43917; -0.50889,51.47750; -0.46139,50.90139; 4.48444,118,,0
24-Jun-72,18.00611; -66.56028,Luis Muñoz Marín Int'l Airport,18.00833; -66.56306,5,15,15
29-Jun-72,44.18333; -88.40000,41.83694; -87.68472,44.267; -88.400,8,0,0
2July1972(1972-07-02),10.81889; 106.65194,37.61889; -122.37500,10.81889; 106.65194,1 (hijacker),,152
14-Aug-72,52.30639; 13.68861,52.37861; 13.52056,42.49528; 27.47167,156,,0
16-Aug-72,18.7677944; 94.6014944,18.7677944; 94.6014944,,28,3,3
31August1972(1972-08-31),53.59972; 58.81500,49.67139; 73.33639,55.40861; 37.90611,102,,0
24 September 1972(1972-09-24),19.09917; 72.83889,51.50722; -0.12750,35.683; 139.683,0,11,122
1-Oct-72,43.38694; 39.89833,43.45000; 39.95667,55.59611; 37.26750,109,,0
13October1972(1972-10-13),55.97278; 37.41472,48.72333; 2.37944,55.97278; 37.41472,174,,0
13 October 1972 – 23 December 1972,-34.76500; -70.28639,-34.83833; -56.03083,-33.39278; -70.78556,29,,16
29-Oct-72,41.2752778; 28.7519444,33.4115222; 36.5155583,50.03333; 8.57056,0,0,20
15-Nov-72,-23.70000; 133.87000,,,1,1,
3December1972(1972-12-03),28.4837028; -16.3433889,28.48278; -16.34167,München-Riem Airport (MUC/EDDM),155,,0
8-Dec-72,41.7653; -87.716,38.85222; -77.03778,41.3012; -95.8954,45 (including 2 on ground),16,18
"December20,1972(1972-12-20)",41.96917; -87.90111,27.96806; -82.47639,41.97861; -87.90472,0,2,93 (all)
23-Dec-72,59.86583; 10.33917,62.56250; 6.11972,59.883; 10.617,40+1 who died of late complications in 1976,5-1 who died of late complications in 1976,5
29-Dec-72,25.86472; -80.59528,40.63972; -73.77889,25.79333; -80.29056,101,75,75
22January1973(1973-01-22),12.04944; 8.52083,21.67944; 39.15667,"Ikeja Int'l Airport, Lagos (now Murtala Muhammad Int'l Airport)",176,26,26
29-Jan-73,35.32722; 33.21694,30.12194; 31.40556,35.15000; 33.27722,37,0,0
"February19,1973(1973-02-19)",50.10083; 14.26000,55.97278; 37.41472,50.10083; 14.26000,66,,34
21-Feb-73,30.3444; 32.6761,32.66944; 13.15667,30.12194; 31.40556,108,5,5
24-Feb-73,40.45333; 69.38056,38.53667; 68.78000,55.40861; 37.90611,79,,0
3-Mar-73,55.750; 37.617,42.69500; 23.40833,55.97278; 37.41472,25,,0
10-Apr-73,47.45417; 7.62333,51.38278; -2.71917,"Basle-Mulhouse Airport, Switzerland",108,36,37
18-May-73,97km (60mi) west of Chita Airport,55.40861; 37.90611,52.02667; 113.30500,81,,0
31May1973(1973-05-31),28.61389; 77.20889,13.079722; 80.286944,28.56861; 77.11222,48,,17
20-Jun-73,20.667; -105.267,25.77833; -100.10639,20.68000; -105.25417,27 (all),,0
11-Jul-73,48.750; 2.400,-22.81000; -43.25056,51.47750; -0.46139,123,11,11
22-Jul-73,-17.51556; -149.58611,-37.00806; 174.79167,37.61889; -122.37500,78,1,1
"July 20, 1973(1973-07-20)",24.43306; 54.65111,52.30806; 4.76417,35.55333; 139.78111,1 hijacker,,106 (including 4 hijackers)
23-Jul-73,38.71861; -90.30833,36.12667; -86.68194,38.74722; -90.36139,38,6,6
"July31,1973(1973-07-31)",42.34972; -71.01250,44.47194; -73.15333,42.36306; -71.00639,89 (all) (includes one death 5 months later),,"0 (initially 2, died later)"
13-Aug-73,"Montrove, Spain",40.47222; -3.56083,43.30194; -8.37722,85 + 1 ground,0,0
8September1973(1973-09-08),55.1893; -162.2645,38.26278; -121.92750,15.18583; 120.55972,6,,0
11-Sep-73,42.86222; 19.38056,,,41,,0
27September1973(1973-09-27),36.33611; -92.38222,35.04250; -89.97667,32.84722; -96.85167,11,0,0
30-Sep-73,56.74139; 60.80361,56.71139; 60.64472,56.71139; 60.64472,108,,0
13-Oct-73,55.49750; 37.66389,42.17639; 42.48250,55.40861; 37.90611,122,,0
November 3 1973,en route over New Mexico,25.79333; -80.29056,37.61889; -122.37500,1,24,127
17 December 1973–18December1973(1973-12-18),41.80028; 12.23889,41.80028; 12.23889,29.500; 47.750,2,At least 2,147
"January6,1974(1974-01-06)",40.31111; -78.83333,40.43972; -79.97639,40.31556; -78.83472,12,5,5
"January26,1974(1974-01-26)",38.28917; 27.15500,38.28917; 27.15500,"Istanbul Yeşilköy Airport (IST/LTBA), Turkey",66,,7
30-Jan-74,-14.34861; -170.73194,-37.00806; 174.79167,33.94250; -118.40806,97,4,4
3-Mar-74,49.1417; 2.633,"Yesilköy Int'l AirportIstanbul, Turkey",51.47750; -0.46139,346 (all),,0
15March1974(1974-03-15),35.6915583; 51.3022139,35.68917; 51.31361,55.61806; 12.65611,15,37,81
18-Apr-74,51.87472; -0.36833,51.87472; -0.36833,53.35389; -2.27500,1,1,1
22-Apr-74,"Mesehe Mountain, Buleleng, 68km (42mi) northwest of Denpasar, Bali, Indonesia",22.3033917; 114.1601694,34.0618; -118.3006,107 (all),,0
8-Sep-74,38.417; 19.367,32.00944; 34.88278,40.63972; -73.77889,88,0,0
"September11,1974(1974-09-11)7:34 am EDT",35.15389; -80.92611,32.78333; -79.93333,41.83694; -87.68472,"72(69 initially, 3 died later)",10,"10(13 initially, 3 died later)"
15-Sep-74,11.633; 108.950,16.04389; 108.19944,10.81889; 106.65194,75,,0
20November1974(1974-11-20),-1.31861; 36.92583,50.03333; 8.57056,-26.13333; 28.25000,59,55,98
1-Dec-74,41.21472; -74.09444,40.63972; -73.77889,42.94056; -78.73222,3,,0
"December 1, 197411:09:22 am EST",39.0767; -77.8817,39.767; -86.150,Dulles International Airportdiverted fromNational Airport,92,,0
4-Dec-74,6.83333; 80.57222,-7.37972; 112.78694,21.7341; 39.0829,191,,0
22-Dec-74,9.750; -63.183,9.750; -63.183,10.60306; -66.99056,75,,0
9-Jan-75,33.983; -118.067,34.05611; -117.60111,33.94250; -118.40806,2,0,0
30January1975(1975-01-30),40.7472; 28.666,"Izmir Cumaovası Airport, Izmir, Turkey",40.97611; 28.81417,42,,0
24-Jun-75,"Jamaica, New York, United States",,,113[a],11,11
3-Aug-75,30.433; -9.600,48.96944; 2.44139,30.38111; -9.54611,188,,0
20-Aug-75,33.5194; 36.6694,50.10083; 14.26000,35.41611; 51.15222,126,2,2
30 August 19751:57 pm BDT,63.765; -171.708,64.50389; -165.39944,63.77611; -171.70083,10,22,22
1-Sep-75,51.42389; 12.23639,48.69000; 9.22194,51.42389; 12.23639,27,,7
24-Sep-75,-2.98611; 104.75556,-6.14722; 106.85000,-2.90028; 104.70000,"26 (25 on board, 1 on ground)",36,36
30-Sep-75,"Mediterranean Seanear Beirut, Lebanon",47.43944; 19.26194,33.82111; 35.48833,60,,0
30-Oct-75,50.083; 14.417,42.40472; 18.72333,50.10083; 14.26000,75,,45
1-Jan-76,"37 km (23 mi) NW of Al Qaysumah, Saudi Arabia",33.82111; 35.48833,24.43306; 54.65111,81,0,0
3-Jan-76,55.58694; 37.15833,55.59611; 37.26750,52.10833; 23.89806,"62 (all on board, plus one on ground)",0,0
15-Jan-76,4.71111; -74.07222,4.70139; -74.14694,2.17361; -73.78611,13,0,0
9February1976(1976-02-09),52.26167; 104.41028,52.26806; 104.38889,59.80028; 30.26250,24,78,90
6-Mar-76,"near Verkhnyaya Khava, Voronezh Oblast",55.59611; 37.26750,40.14722; 44.39583,111,0,0
27-Apr-76,18.333; -64.917,41.72389; -71.42833,18.33722; -64.97333,37,38,51
15May1976(1976-05-15),51.283; 31.417,49.23972; 28.61389,55.62222; 38.06389,52,,0
1June1976(1976-06-01),3.500; 8.700,-8.85833; 13.23111,55.97278; 37.41472,46,,0
4June1976(1976-06-04),13.4917; 144.817,13.48389; 144.79722,14.50833; 121.01972,"45 (all), plus one on the ground",2 (on the ground),
6June1976(1976-06-06),5.9622167; 116.0618111,5.30167; 115.24833,5.94472; 116.05861,11 (all),,0
27-Jun-76,Greek airspace,32.00944; 34.88278,40.97611; 28.81417,4,10,256
"July 28, 1976, 9:37 CEST",48.18194; 17.19000,,,76,3,3 (passengers)
15-Aug-76,-1.46917; -78.81750,-0.233; -78.517,-2.8974139; -79.0044806,59,,0
9September1976(1976-09-09),44.55194; 37.30500,"Rostov-on-Don Airport, Russian SFSR","Kerch Airport, Ukrainian SSR",18 (all),,
10-Sep-76,45.89250; 16.31056,43.53889; 16.29806,50.86583; 7.14278,113 (all),,0
19-Sep-76,37.89165; 30.50114,40.97611; 28.81417,36.90028; 30.79278,154,,0
6-Oct-76,13.07472; -59.49250,,,73,,0
12-Oct-76,18.97500; 72.82583,19.08861; 72.86806,44.67028; -121.15500,95,0,0
23-Nov-76,40.183; 22.000,37.89833; 23.72944,40.300; 21.783,50,,0
28-Nov-76,56.01972; 37.29167,55.97278; 37.41472,59.80028; 30.26250,73,,0
25December1976(1976-12-25),13.91250; 100.60667,41.80028; 12.23889,35.76528; 140.38556,52,,0
13-Jan-77,43.35528; 77.04472,48.52806; 135.18833,43.35528; 77.04472,90[1],,0
15-Jan-77,59.38167; 17.86556,55.53000; 13.37139,59.35444; 17.93972,22,,0
15February1977(1977-02-15),"near Mineralnye Vody, Stavropol Krai",41.257861; 69.2811861,44.22500; 43.08194,77,,21
27-Mar-77,28.48165; -16.3384,"Los Angeles International AirportLos Angeles, United States",27.967; -15.600,"335(326 passengers, 9 crew)",61,61
"April4,1977(1977-04-04)",33.96250; -84.78694,34.74528; -87.61028,44.99639; -84.12694,63,"22 (21 serious, 1 minor)",22
12-Apr-77,33.94250; -118.40806,32.5549; -117.044306,34.0618; -118.3006,0,0,52
27-Apr-77,"Near Guatemala City, Guatemala",,,28,0,0
14-May-77,-15.326; 028.400,51.47750; -0.46139,-15.417; 28.283,6,0,0
27-May-77,22.98917; -82.40917,55.97278; 37.41472,22.98917; -82.40917,69 (1 on ground),2,2
27-Sep-77,"Near Sultan Abdul Aziz Shah Airport, Subang, Malaysia",35.55333; 139.78111,1.35917; 103.98944,34,45,45
28-Sep-77,23.84278; 90.40056,49.00972; 2.54778,35.55333; 139.78111,,,156 (all)
18-Oct-77,10; 49,39.55167; 2.73889,50.03333; 8.57056,"4 (1 crew, 3 hijackers)","5 (1 flight attendant, 3 passengers, 1 hijacker)","91 (All passengers, 4 crew, 1 hijacker)"
"October 20, 197718:52 (CST)",31.072; -90.599,34.84806; -82.35000,30.53278; -91.15000,6,,20
19-Nov-77,32.68806; -16.78556,50.90139; 4.48444,32.69417; -16.77806,131,,33
2-Dec-77,32.117; 20.067,21.67944; 39.15667,32.09722; 20.26944,59,,106
4-Dec-77,1.3887; 103.5314,5.297139; 100.2768639,1.3887; 103.5314,100,,0
13-Dec-77,38.03833; -87.53083,,,29,,0
"December 18, 19771:38 a.m. MST",41.028; -111.875,37.61889; -122.37500,41.97861; -87.90472,3,0,0
18-Dec-77,32.650; -16.917,,,36,,21
1January1978(1978-01-01),18.975; 72.1592,"Santacruz AirportBombay, India",25.25278; 55.36444,213,,0
11-Feb-78,49.6114; -115.78225,53.31000; -113.57944,49.29611; -117.63250,42,,7
1-Mar-78,33.94250; -118.40806,33.94250; -118.40806,21.31861; -157.92250,4[a],29[a],196[a]
3March1978(1978-03-03),"In the sea 5.2 km (3.3 miles) off Punta Mulatos, Venezuela)",10.60306; -66.99056,"Cumaná Airport (CUM/SVCU), Cumaná. Venezuela",47,,0
16-Mar-78,43.32750; 23.87306,42.69500; 23.40833,52.16583; 20.96722,73,,0
20-Apr-78,66.048217; 33.072017,48.72333; 2.37944,37.55806; 126.79056,2,,107
"May8,1978(1978-05-08)",30.48556; -87.11750,25.79333; -80.29056,"Pensacola Regional Airport (PNS/KPNS), Pensacola, Florida",3,11,55
26-Jun-78,43.65972; -79.62556,43.67667; -79.63056,49.91000; -97.24000,2,105[1],105
26-Jun-78,61.017; 2.800,60.29361; 5.21806,61.25556; 1.85389,18,,0
30-Aug-78,52.47361; 13.40167,54.37750; 18.46611,52.37861; 13.52056,0,0,69
3-Sep-78,-16.783; 29.083,-17.92444; 25.85667,-17.82917; 31.05222,"48 (38 in crash, 10 in massacre at the site)",,8
"September25,1978(1978-09-25)",32.71500; -117.16250,33.02; -116.77,32.73361; -117.18972,2,,0
15-Nov-78,7.167; 79.867,21.7341; 39.0829,-7.37972; 112.78694,183,32,79
23-Dec-78,38.20778; 13.10889,,,108[1],21,21
28-Dec-78,45.5225; -122.499722,40.63972; -73.77889,45.58861; -122.59750,10,24,179
30-Jan-79,"Pacific Ocean, 200km (110nmi; 120mi) ENE of Tokyo, Japan",35.76528; 140.38556,-22.81000; -43.25056,6,,0
12-Feb-79,-16.417; 29.433,51.0740; -1.7936,51.0740; -1.7936,59,,0
3-Sep-78,-16.783; 29.083,-17.92444; 25.85667,-17.82917; 31.05222,"48 (38 in crash, 10 in massacre at the site)",,8
17-Feb-79,Manukau Harbour,-38.66333; 177.97833,-37.00806; 174.79167,2,2,2
13-Mar-79,25.26111; 51.56500,31.72250; 35.99333,23.5885889; 58.2906000,45,19,19
17-Mar-79,53.60056; 37.30889,55.59611; 37.26750,46.42694; 30.67806,"58 (57 passengers, 1 crew)",,61
29-Mar-79,46.817; -71.217,46.79111; -71.39333,45.50889; -73.56167,17,,7
4-Apr-79,42.33139; -83.04583,,,0,8,89
